t,acc
10.72 , 1.1
10.73 , 1.0
10.74 , 0.83
10.75 , 0.63
10.76 , 0.48
10.77 , 0.44
10.78 , 0.52
10.790000000000001 , 0.74
10.8 , 1.0
10.81 , 1.4
10.82 , 1.7
10.83 , 1.8
10.84 , 1.8
10.85 , 1.7
10.86 , 1.4
10.870000000000001 , 0.96
10.88 , 0.59
10.89 , 0.33
10.9 , 0.26
10.91 , 0.34
10.92 , 0.53
10.93 , 0.71
10.94 , 0.85
10.950000000000001 , 0.94
10.96 , 0.97
10.97 , 0.97
10.98 , 0.9
10.99 , 0.76
11.0 , 0.57
11.01 , 0.43
11.02 , 0.38
11.03 , 0.46
11.040000000000001 , 0.64
11.05 , 0.81
11.06 , 0.91
11.07 , 0.88
11.08 , 0.8
11.09 , 0.72
11.1 , 0.72
11.11 , 0.78
11.120000000000001 , 0.84
11.13 , 0.77
11.14 , 0.59
11.15 , 0.3
11.16 , -0.021
11.17 , -0.34
11.18 , -0.64
11.19 , -0.97
11.200000000000001 , -1.3
11.21 , -1.6
11.22 , -1.7
11.23 , -1.6
11.24 , -1.3
11.25 , -0.96
11.26 , -0.59
11.27 , -0.33
11.28 , -0.21
11.290000000000001 , -0.12
11.3 , -0.013
11.31 , 0.2
11.32 , 0.45
11.33 , 0.67
11.34 , 0.74
11.35 , 0.65
11.36 , 0.47
11.370000000000001 , 0.24
11.38 , 0.11
11.39 , 0.07
11.4 , 0.11
11.41 , 0.15
11.42 , 0.12
11.43 , 0.066
11.44 , 0.029
11.450000000000001 , 0.059
11.46 , 0.16
11.47 , 0.27
11.48 , 0.3
11.49 , 0.28
11.5 , 0.26
11.51 , 0.32
11.52 , 0.48
11.53 , 0.64
11.540000000000001 , 0.73
11.55 , 0.66
11.56 , 0.5
11.57 , 0.35
11.58 , 0.31
11.59 , 0.35
11.6 , 0.42
11.61 , 0.44
11.620000000000001 , 0.37
11.63 , 0.24
11.64 , 0.11
11.65 , 0.0053
11.66 , -0.038
11.67 , -0.029
11.68 , 0.037
11.69 , 0.2
11.700000000000001 , 0.42
11.71 , 0.65
11.72 , 0.8
11.73 , 0.76
11.74 , 0.52
11.75 , 0.15
11.76 , -0.23
11.77 , -0.52
11.78 , -0.62
11.790000000000001 , -0.59
11.8 , -0.46
11.81 , -0.34
11.82 , -0.24
11.83 , -0.2
11.84 , -0.2
11.85 , -0.22
11.86 , -0.24
11.870000000000001 , -0.28
11.88 , -0.33
11.89 , -0.41
11.9 , -0.46
11.91 , -0.42
11.92 , -0.3
11.93 , -0.12
11.94 , 0.031
11.950000000000001 , 0.12
11.96 , 0.17
11.97 , 0.23
11.98 , 0.35
11.99 , 0.54
12.0 , 0.71
12.01 , 0.8
12.02 , 0.75
12.030000000000001 , 0.61
12.040000000000001 , 0.47
12.05 , 0.41
12.06 , 0.43
12.07 , 0.48
12.08 , 0.5
12.09 , 0.43
12.1 , 0.28
12.11 , 0.027
12.120000000000001 , -0.33
12.13 , -0.72
12.14 , -1.1
12.15 , -1.5
12.16 , -1.7
12.17 , -1.6
12.18 , -1.3
12.19 , -0.94
12.200000000000001 , -0.52
12.21 , -0.26
12.22 , -0.18
